Table S3: 242 DEGs between control normal and SLE samples,,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
RBM8A,0.706403071,5.017265054,8.783856214,2.75E-17,8.27E-16,28.57759328
NAG18,-1.668621785,3.253894293,-8.771334178,3.02E-17,8.98E-16,28.48360752
PCDHGB6,-0.918823975,2.373511933,-8.768133498,3.10E-17,9.18E-16,28.45959995
ZNF430,-1.176032598,4.483818863,-8.760168374,3.29E-17,9.65E-16,28.39988287
FMR1,1.314580801,5.569162754,8.753806989,3.46E-17,1.00E-15,28.35221774
NAIP,0.785513883,5.478413501,8.751565373,3.52E-17,1.02E-15,28.33542753
UBE2D1,0.711038634,4.84022661,8.750544662,3.55E-17,1.02E-15,28.3277832
GPR1,-0.804482607,3.423334688,-8.719804432,4.48E-17,1.25E-15,28.09786584
CD6,-0.895528463,4.664169181,-8.711097586,4.79E-17,1.33E-15,28.03285082
NOTCH2NL,0.753490369,6.135070442,8.699650314,5.23E-17,1.43E-15,27.9474445
CCR5,0.713871883,4.608498267,8.690766061,5.60E-17,1.52E-15,27.88121672
CLIC3,-0.76364567,4.139087098,-8.683738437,5.90E-17,1.59E-15,27.82886406
TDRD1,-0.822075136,3.023581645,-8.678809689,6.13E-17,1.63E-15,27.79216548
CDC27,0.770011214,4.842486114,8.665717209,6.77E-17,1.78E-15,27.69475486
RAP1B,0.791324882,6.705766603,8.657002272,7.23E-17,1.88E-15,27.6299734
HMGN3,0.858253174,5.976148893,8.655345507,7.33E-17,1.90E-15,27.61766341
NDUFB4,0.991930813,5.545933541,8.654387404,7.38E-17,1.90E-15,27.61054536
CSF2RB,1.00216254,6.233844401,8.641002527,8.17E-17,2.06E-15,27.51116493
TRAPPC10,0.870586133,4.932380831,8.630118395,8.87E-17,2.22E-15,27.43043489
PODNL1,0.703871394,4.283187683,8.629755887,8.89E-17,2.22E-15,27.42774737
MMP9,0.757328057,5.47105854,8.62216872,9.42E-17,2.34E-15,27.37151735
RPL23A,0.79226406,7.357409701,8.616408141,9.84E-17,2.44E-15,27.32884867
CHD9,-0.704974782,4.297884968,-8.602428143,1.09E-16,2.69E-15,27.22538541
TNC,-0.80299293,2.877713908,-8.588585253,1.21E-16,2.95E-15,27.12305806
FKSG49,1.185498379,5.65344651,8.573134758,1.36E-16,3.25E-15,27.00898983
SLC44A4,-1.163697921,3.680241924,-8.569421264,1.40E-16,3.33E-15,26.98159622
