,Pathway_ID,Description,Associated_Genes
0,hsa04650,Natural killer cell mediated cytotoxicity,"['KIR2DS2', 'MICA', 'KLRC4-KLRK1', 'IGH', 'VAV3', 'HCST', 'P3R3URF-PIK3R3', 'SH2D1B', 'FCGR3B', 'RAET1E', 'CSF2', 'RAET1L', 'PTK2B', 'FCER1G', 'FCGR3A', 'FCGR3B', 'KLRK1', 'FYN', 'SHC2', 'NCR3', 'LAT', 'GRB2', 'GZMB', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-G', 'HRAS', 'ICAM1', 'ICAM2', 'IFNA1', 'IFNA2', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNA10', 'IFNA13', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNAR1', 'IFNAR2', 'IFNB1', 'IFNG', 'IFNGR1', 'IFNGR2', 'RAET1G', 'FAS', 'FASLG', 'ITGAL', 'ITGB2', 'ARAF', 'KIR2DL1', 'KIR2DL2', 'KIR2DL3', 'KIR2DL4', 'KIR2DS1', 'KIR2DS3', 'KIR2DS4', 'KIR2DS5', 'KIR3DL1', 'KIR3DL2', 'KLRC1', 'KLRC2', 'KLRC3', 'KLRD1', 'KRAS', 'LCK', 'LCP2', 'SHC4', 'SH2D1A', 'MICB', 'NFATC1', 'NFATC2', 'NRAS', 'PAK1', 'CD244', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG1', 'SHC3', 'PLCG2', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'PRF1', 'PRKCA', 'PRKCB', 'PRKCG', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'KIR2DL5A', 'PTPN6', 'PTPN11', 'RAC1', 'RAC2', 'RAC3', 'RAF1', 'BID', 'SH3BP2', 'SHC1', 'SOS1', 'SOS2', 'BRAF', 'SYK', 'TNF', 'TYROBP', 'VAV1', 'VAV2', 'LAT2', 'ZAP70', 'ULBP3', 'ULBP2', 'ULBP1', 'CASP3', 'PIK3R3', 'TNFSF10', 'TNFRSF10B', 'TNFRSF10A', 'CD247', 'NCR2', 'NCR1', 'CD48']"
1,hsa04658,Th1 and Th2 cell differentiation,"['DLL3', 'RBPJL', 'CHUK', 'MAPK14', 'JAG1', 'FOS', 'GATA3', 'LAT', 'DLL1', 'TBX21', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-DRB4', 'HLA-DRB5', 'IFNG', 'IFNGR1', 'IFNGR2', 'RBPJ', 'IKBKB', 'IL2', 'IL2RA', 'IL2RB', 'IL2RG', 'IL4', 'IL4R', 'IL5', 'IL12A', 'IL12B', 'IL12RB1', 'IL12RB2', 'IL13', 'JAG2', 'JAK1', 'JAK2', 'JAK3', 'JUN', 'LCK', 'MAF', 'NFATC1', 'NFATC2', 'NFATC3', 'NFKB1', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NOTCH1', 'NOTCH2', 'NOTCH3', 'PLCG1', 'DLL4', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'MAML3', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'RELA', 'MAPK12', 'STAT1', 'STAT4', 'STAT5A', 'STAT5B', 'STAT6', 'TYK2', 'ZAP70', 'MAML2', 'IKBKG', 'RUNX3', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD4', 'MAML1']"
2,hsa04659,Th17 cell differentiation,"['EBI3', 'IL17F', 'CHUK', 'MAPK14', 'IL23R', 'AHR', 'FOS', 'IL27', 'MTOR', 'GATA3', 'LAT', 'TBX21', 'HIF1A', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-DRB4', 'HLA-DRB5', 'HSP90AA1', 'HSP90AB1', 'IFNG', 'IFNGR1', 'IFNGR2', 'IKBKB', 'IL1B', 'IL1R1', 'IL1RAP', 'IL2', 'IL2RA', 'IL2RB', 'IL2RG', 'IL4', 'IL4R', 'IL6', 'IL6R', 'IL6ST', 'IL12RB1', 'IL17A', 'IRF4', 'JAK1', 'JAK2', 'JAK3', 'JUN', 'LCK', 'SMAD2', 'SMAD3', 'SMAD4', 'NFATC1', 'NFATC2', 'NFATC3', 'NFKB1', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'IL21R', 'IL22', 'FOXP3', 'IL23A', 'PLCG1', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'IL21', 'RARA', 'RELA', 'RORA', 'RORC', 'RXRA', 'RXRB', 'RXRG', 'MAPK12', 'STAT1', 'STAT3', 'STAT5A', 'STAT5B', 'STAT6', 'TGFB1', 'TGFBR1', 'TGFBR2', 'TYK2', 'ZAP70', 'IKBKG', 'RUNX1', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD4', 'IL27RA']"
3,hsa04660,T cell receptor signaling pathway,"['AKT3', 'RASGRP1', 'CDK4', 'PAK4', 'VAV3', 'BUB1B-PAK6', 'MALT1', 'P3R3URF-PIK3R3', 'CHUK', 'MAP3K8', 'MAPK14', 'CSF2', 'CTLA4', 'DLG1', 'AKT1', 'AKT2', 'FOS', 'FYN', 'LAT', 'PPP2R3B', 'GRB2', 'GSK3B', 'ICOS', 'HRAS', 'IFNG', 'IKBKB', 'IL2', 'IL4', 'IL5', 'IL10', 'ITK', 'JUN', 'KRAS', 'RHOA', 'LCK', 'LCP2', 'NCK1', 'NFATC1', 'NFATC2', 'NFATC3', 'NFKB1', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NRAS', 'PAK1', 'PAK2', 'PAK3', 'PDCD1', 'PDPK1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG1', 'PPP2R3C', 'PPP2CA', 'PPP2CB', 'PPP2R1A', 'PPP2R1B', 'PPP2R2A', 'PPP2R2B', 'PPP2R2C', 'PPP2R3A', 'PPP2R5A', 'PPP2R5B', 'PPP2R5C', 'PPP2R5D', 'PPP2R5E', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'PPP2R2D', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'MAP2K1', 'MAP2K2', 'MAP2K7', 'PAK6', 'PAK5', 'PTPN6', 'PTPN11', 'PTPRC', 'RAF1', 'RELA', 'MAPK12', 'SOS1', 'SOS2', 'MAP3K7', 'TEC', 'TNF', 'VAV1', 'VAV2', 'ZAP70', 'NCK2', 'CARD11', 'PIK3R3', 'IKBKG', 'CBLB', 'BCL10', 'MAP3K14', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD4', 'CD8A', 'CD8B', 'CD8B2', 'CD28', 'GRAP2', 'CD40LG', 'CDC42']"
4,hsa05142,Chagas disease,"['AKT3', 'TLR6', 'ADCY1', 'P3R3URF-PIK3R3', 'CHUK', 'MAPK14', 'TICAM1', 'ACE', 'AKT1', 'AKT2', 'PLCB1', 'FOS', 'GNA11', 'GNA15', 'GNAI1', 'GNAI2', 'GNAI3', 'GNAL', 'GNAO1', 'GNAQ', 'GNAS', 'IFNB1', 'IFNG', 'IFNGR1', 'IFNGR2', 'FAS', 'IKBKB', 'IL1B', 'IL2', 'FASLG', 'IL6', 'CXCL8', 'IL10', 'IL12A', 'IL12B', 'IRAK1', 'JUN', 'KNG1', 'SMAD2', 'CCL3L3', 'MYD88', 'NFKB1', 'NFKBIA', 'NOS2', 'SERPINE1', 'IRAK4', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCB2', 'PLCB3', 'PLCB4', 'TLR9', 'PPP2CA', 'PPP2CB', 'PPP2R1A', 'PPP2R1B', 'PPP2R2A', 'PPP2R2B', 'PPP2R2C', 'PPP2R2D', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'RELA', 'BDKRB2', 'MAPK12', 'CCL2', 'CCL3', 'CCL3L1', 'CCL5', 'MAP2K4', 'TGFB1', 'TGFB2', 'TGFB3', 'TGFBR1', 'TGFBR2', 'TLR2', 'TLR4', 'C1QA', 'TNF', 'C1QB', 'TNFRSF1A', 'C1QC', 'C3', 'TRAF6', 'CALR', 'CASP8', 'PIK3R3', 'IKBKG', 'FADD', 'CFLAR', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'GNA14']"
5,hsa05169,Epstein-Barr virus infection,"['AKT3', 'BCL2L11', 'CDK2', 'CDK4', 'CDK6', 'PSMD14', 'CDKN1A', 'CDKN1B', 'IGH', 'IRF9', 'TAB1', 'GADD45G', 'P3R3URF-PIK3R3', 'ADRM1', 'RBPJL', 'CHUK', 'CR2', 'MAPK14', 'DDB2', 'GADD45A', 'E2F1', 'E2F2', 'E2F3', 'AKT1', 'AKT2', 'FCER2', 'SNW1', 'TAB2', 'RIGI', 'SIN3A', 'TBK1', 'PDIA3', 'BLNK', 'HDAC1', 'HDAC2', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-DRB4', 'HLA-DRB5', 'HLA-E', 'HLA-F', 'HLA-G', 'APAF1', 'HES1', 'ICAM1', 'IFNA1', 'IFNA2', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNA10', 'IFNA13', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNAR1', 'IFNAR2', 'IFNB1', 'RBPJ', 'FAS', 'IKBKB', 'IL6', 'CXCL10', 'IRAK1', 'IRF3', 'IRF7', 'ITGAL', 'JAK1', 'JAK3', 'JUN', 'ENTPD8', 'LYN', 'MDM2', 'MYC', 'MYD88', 'GADD45B', 'NEDD4', 'NFKB1', 'NFKB2', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'OAS1', 'OAS2', 'OAS3', 'IRAK4', 'POLK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG2', 'CYCS', 'TAPBPL', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'MAP2K3', 'MAP2K6', 'MAP2K7', 'EIF2AK2', 'B2M', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD7', 'PSMD8', 'PSMD11', 'PSMD12', 'PSMD13', 'MAVS', 'BAK1', 'BAX', 'RAC1', 'RB1', 'CCND1', 'BCL2', 'RELA', 'RELB', 'MAPK12', 'BID', 'MAP2K4', 'SKP2', 'STAT1', 'STAT2', 'STAT3', 'SYK', 'MAP3K7', 'TAP1', 'TAP2', 'TAPBP', 'BTK', 'TLR2', 'TNF', 'TNFAIP3', 'TP53', 'TRAF2', 'TRAF3', 'TRAF5', 'TRAF6', 'TYK2', 'VIM', 'USP7', 'SAP30L', 'SEM1', 'CALR', 'CASP3', 'CASP8', 'CASP9', 'PIK3R3', 'IKBKG', 'RUNX3', 'TRADD', 'RIPK1', 'FADD', 'SAP30', 'CCNA2', 'CCNA1', 'CCND2', 'CCND3', 'CCNE1', 'MAP3K14', 'CCNE2', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD19', 'ENTPD1', 'CIRSR', 'ENTPD3', 'CD40', 'CD44', 'NCOR2', 'ISG15', 'IKBKE', 'CD58', 'PSMD6']"
6,hsa05170,Human immunodeficiency virus 1 infection,"['AKT3', 'AP1M2', 'APOBEC3A_B', 'PAK4', 'TAB1', 'GNB5', 'BUB1B-PAK6', 'CFL1', 'CFL2', 'P3R3URF-PIK3R3', 'CHEK1', 'CHUK', 'CGAS', 'AP1S1', 'CCR5', 'AP1S3', 'CRK', 'CRKL', 'APOBEC3D', 'MAPK14', 'AP1B1', 'CALML6', 'AP1G1', 'DDB1', 'APOBEC3H', 'APOBEC3A', 'APOBEC3F', 'AKT1', 'AKT2', 'PTK2B', 'TAB2', 'FBXW11', 'FOS', 'MTOR', 'SAMHD1', 'APOBEC3C', 'GNA11', 'GNAI1', 'GNAI2', 'GNAI3', 'GNAO1', 'GNAQ', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'TBK1', 'PDIA3', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HRAS', 'STING1', 'IFNA1', 'IFNA2', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNA10', 'IFNA13', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNB1', 'FAS', 'IKBKB', 'FASLG', 'IRAK1', 'IRF3', 'ITPR1', 'ITPR2', 'ITPR3', 'JUN', 'KRAS', 'LIMK1', 'LIMK2', 'MYD88', 'ATM', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'NFKB1', 'NFKBIA', 'NRAS', 'WEE2', 'PAK1', 'PAK2', 'PAK3', 'IRAK4', 'GNG13', 'CALML5', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG1', 'PLCG2', 'CYCS', 'GNG2', 'ATR', 'TAPBPL', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'PRKCA', 'PRKCB', 'PRKCG', 'MAPK1', 'MAPK3', 'GNG12', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'MAP2K1', 'MAP2K2', 'MAP2K3', 'MAP2K6', 'MAP2K7', 'B2M', 'PAK6', 'PAK5', 'BAD', 'PTK2', 'BAK1', 'BAX', 'PXN', 'RAC1', 'RAC2', 'RAC3', 'RAF1', 'GNB4', 'BCL2', 'RELA', 'BCL2L1', 'APOBEC3G', 'RPS6KB1', 'RPS6KB2', 'MAPK12', 'BID', 'SKP1', 'BST2', 'MAP3K7', 'TAP1', 'TAP2', 'TAPBP', 'ELOC', 'ELOB', 'TLR2', 'TLR4', 'TNF', 'TNFRSF1A', 'TNFRSF1B', 'TRAF2', 'TRAF5', 'TRAF6', 'WEE1', 'CXCR4', 'CALM1', 'CALM2', 'CUL5', 'CALM3', 'CALML3', 'CALR', 'CASP3', 'CASP8', 'CASP9', 'CUL4B', 'CUL4A', 'CUL1', 'PIK3R3', 'IKBKG', 'TRIM5', 'CCNB3', 'TRADD', 'RIPK1', 'FADD', 'AP1S2', 'AP1G2', 'AP1M1', 'CCNB1', 'BTRC', 'CCNB2', 'CD3D', 'CD3E', 'CD3G', 'CALML4', 'CD247', 'CD4', 'GNG8', 'APOBEC3B', 'RNF7', 'DCAF1', 'CDK1', 'CDC25C', 'RBX1']"
7,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,"['AKT3', 'RASGRP1', 'BATF', 'P3R3URF-PIK3R3', 'TIRAP', 'CHUK', 'BATF2', 'MAPK14', 'CSNK2A1', 'CSNK2A2', 'CSNK2B', 'TICAM1', 'EGF', 'EGFR', 'AKT1', 'AKT2', 'FOS', 'ALK', 'MTOR', 'LAT', 'EML4', 'CSNK2A3', 'CD274', 'HIF1A', 'HRAS', 'IFNG', 'IFNGR1', 'IFNGR2', 'TICAM2', 'IKBKB', 'JAK1', 'JAK2', 'JUN', 'KRAS', 'LCK', 'MAP3K3', 'MYD88', 'NFATC1', 'NFATC2', 'NFATC3', 'NFKB1', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NRAS', 'PDCD1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG1', 'TLR9', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'BATF3', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK11', 'MAPK13', 'MAP2K1', 'MAP2K2', 'MAP2K3', 'MAP2K6', 'PTEN', 'PTPN6', 'PTPN11', 'RAF1', 'RELA', 'RPS6KB1', 'RPS6KB2', 'MAPK12', 'STAT1', 'STAT3', 'TLR2', 'TLR4', 'TRAF6', 'ZAP70', 'PIK3R3', 'IKBKG', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD4', 'CD28']"
